25506975;41.04865;-8.571194;-0.1495955;0.716434
25506976;41.0471;-8.571036;-0.1495928;0.7164071
25506977;41.04586;-8.570969;-0.1495916;0.7163854
25506978;41.04865;-8.571381;-0.1495988;0.716434
25506981;41.04721;-8.571232;-0.1495962;0.7164089
25506985;41.0459;-8.571182;-0.1495954;0.7163861
25507697;41.05109;-8.572271;-0.1496144;0.7164767
25507698;41.05003;-8.571855;-0.1496071;0.7164581
25507699;41.05007;-8.571654;-0.1496036;0.7164589
25507700;41.04909;-8.571497;-0.1496008;0.7164418
25507701;41.04914;-8.571305;-0.1495975;0.7164426
25507702;41.04479;-8.570958;-0.1495914;0.7163667
25507703;41.04483;-8.570726;-0.1495874;0.7163674
25507704;41.04292;-8.570332;-0.1495805;0.716334
25507706;41.04294;-8.570144;-0.1495772;0.7163345
25507707;41.042;-8.570098;-0.1495764;0.716318
25507708;41.04202;-8.569899;-0.149573;0.7163183
25507709;41.04084;-8.569973;-0.1495742;0.7162977
25507710;41.04084;-8.569779;-0.1495709;0.7162977
25507711;41.03973;-8.57007;-0.1495759;0.7162784
25507712;41.03971;-8.569867;-0.1495724;0.716278
25507713;41.03857;-8.570403;-0.1495817;0.7162582
25507714;41.03854;-8.570206;-0.1495783;0.7162577
25507715;41.03749;-8.570915;-0.1495907;0.7162394
25507716;41.03744;-8.570732;-0.1495875;0.7162384
25507717;41.03642;-8.571529;-0.1496014;0.7162206
25507718;41.03636;-8.571335;-0.149598;0.7162195
25507719;41.03528;-8.571984;-0.1496093;0.7162007
25507720;41.03527;-8.571787;-0.1496059;0.7162005
25507721;41.03403;-8.572222;-0.1496135;0.716179
25507722;41.03402;-8.572019;-0.14961;0.7161788
25507723;41.03294;-8.572227;-0.1496136;0.71616
25507724;41.03295;-8.57203;-0.1496101;0.7161601
25507725;41.03164;-8.572058;-0.1496106;0.7161373
25507727;41.03165;-8.571851;-0.149607;0.7161373
25529400;41.03016;-8.572069;-0.1496108;0.7161113
25529401;41.03013;-8.571879;-0.1496075;0.7161108
25529402;41.02895;-8.572344;-0.1496156;0.7160903
25529403;41.02892;-8.572152;-0.1496123;0.7160898
25529404;41.02757;-8.572986;-0.1496268;0.7160662
25529405;41.02751;-8.572808;-0.1496237;0.7160651
25529406;41.02628;-8.573958;-0.1496438;0.7160437
25529407;41.02619;-8.573807;-0.1496412;0.716042
25529408;41.02414;-8.575924;-0.1496781;0.7160062
25529409;41.02403;-8.575785;-0.1496757;0.7160044
25529410;41.02358;-8.576624;-0.1496903;0.7159965
25529411;41.02348;-8.576491;-0.149688;0.7159947
25529412;41.02288;-8.577652;-0.1497083;0.7159843
25529413;41.02276;-8.577522;-0.149706;0.7159823
25529414;41.02174;-8.579168;-0.1497347;0.7159644
25529415;41.02165;-8.579014;-0.149732;0.7159629
25529416;41.02037;-8.5804;-0.1497562;0.7159405
25529417;41.02035;-8.580196;-0.1497527;0.7159401
25529418;41.01921;-8.581157;-0.1497694;0.7159202
25529419;41.0191;-8.580812;-0.1497634;0.7159183
25529420;41.01842;-8.581671;-0.1497784;0.7159064
25529421;41.0187;-8.580923;-0.1497654;0.7159113
25529422;41.01659;-8.582347;-0.1497902;0.7158746
25529423;41.01653;-8.581603;-0.1497772;0.7158735
25529426;41.01282;-8.582954;-0.1498008;0.7158087
25529427;41.01279;-8.582808;-0.1497982;0.7158083
25529428;41.01163;-8.582985;-0.1498013;0.7157879
25529429;41.01163;-8.582823;-0.1497985;0.7157879
25529430;41.00854;-8.582544;-0.1497937;0.715734
25529431;41.00854;-8.582388;-0.1497909;0.7157341
25529432;41.0074;-8.582432;-0.1497917;0.7157142
25529433;41.00739;-8.582278;-0.149789;0.715714
25529435;41.00624;-8.58225;-0.1497885;0.715694
25529436;41.00365;-8.582691;-0.1497962;0.7156488
25529437;41.00399;-8.582471;-0.1497924;0.7156546
25529438;41.00238;-8.582964;-0.149801;0.7156265
25529439;41.00236;-8.582807;-0.1497982;0.7156261
25529440;41.00096;-8.583297;-0.1498068;0.7156017
25529441;41.00095;-8.583137;-0.149804;0.7156016
25529442;40.99945;-8.58357;-0.1498116;0.7155753
